Gene	UniProt	Domain_Name	Start	End
SH3BP1	3BP1	BAR	17	262
SH3BP1	3BP1	Rho-GAP	276	469
SH3BP2	3BP2	PH	26	130
SH3BP2	3BP2	SH2	457	555
BZW2	5MP1	W2	248	415
BZW1	5MP2	W2	247	414
NUDT1	8ODP	Nudix hydrolase	3	132
A1BG	A1BG	Ig-like V-type 1	22	113
A1BG	A1BG	Ig-like V-type 2	114	206
A1BG	A1BG	Ig-like V-type 3	207	299
A1BG	A1BG	Ig-like V-type 4	300	397
A1BG	A1BG	Ig-like V-type 5	398	495
A1CF	A1CF	RRM 1	56	134
A1CF	A1CF	RRM 2	136	218
A1CF	A1CF	RRM 3	231	303
LRG1	A2GL	LRRCT	299	347
APP	A4	E1	28	189
APP	A4	BPTI/Kunitz inhibitor	291	341
APP	A4	E2	374	565
AAK1	AAK1	Protein kinase	46	315
PRKAG1	AAKG1	CBS 1	43	103
PRKAG1	AAKG1	CBS 2	125	187
PRKAG1	AAKG1	CBS 3	198	260
PRKAG1	AAKG1	CBS 4	272	329
PRKAG2	AAKG2	CBS 1	275	335
PRKAG2	AAKG2	CBS 2	357	415
PRKAG2	AAKG2	CBS 3	430	492
PRKAG2	AAKG2	CBS 4	504	562
PRKAG3	AAKG3	CBS 1	197	258
PRKAG3	AAKG3	CBS 2	280	340
PRKAG3	AAKG3	CBS 3	355	415
PRKAG3	AAKG3	CBS 4	427	486
PRKAA1	AAPK1	Protein kinase	27	279
PRKAA2	AAPK2	Protein kinase	16	268
APBB1IP	AB1IP	Ras-associating	176	263
APBB1IP	AB1IP	PH	310	419
APOBEC3A	ABC3A	CMP/dCMP-type deaminase	27	143
APOBEC3B	ABC3B	CMP/dCMP-type deaminase 1	29	138
APOBEC3B	ABC3B	CMP/dCMP-type deaminase 2	210	326
APOBEC3C	ABC3C	CMP/dCMP-type deaminase	29	138
APOBEC3D	ABC3D	CMP/dCMP-type deaminase 1	29	145
APOBEC3D	ABC3D	CMP/dCMP-type deaminase 2	187	334
APOBEC3F	ABC3F	CMP/dCMP-type deaminase 1	29	137
APOBEC3F	ABC3F	CMP/dCMP-type deaminase 2	174	321
APOBEC3G	ABC3G	CMP/dCMP-type deaminase 1	29	138
APOBEC3G	ABC3G	CMP/dCMP-type deaminase 2	214	328
APOBEC3H	ABC3H	CMP/dCMP-type deaminase	4	126
ABCA1	ABCA1	ABC transporter 1	899	1131
ABCA1	ABCA1	ABC transporter 2	1912	2144
ABCA2	ABCA2	ABC transporter 1	990	1221
ABCA2	ABCA2	ABC transporter 2	2050	2285
ABCA3	ABCA3	ABC transporter 1	530	763
ABCA3	ABCA3	ABC transporter 2	1381	1614
ABCA4	ABCA4	ABC transporter 1	929	1160
ABCA4	ABCA4	ABC transporter 2	1938	2170
ABCA5	ABCA5	ABC transporter 1	478	713
ABCA5	ABCA5	ABC transporter 2	1290	1533
ABCA6	ABCA6	ABC transporter 1	478	713
ABCA6	ABCA6	ABC transporter 2	1288	1513
ABCA7	ABCA7	ABC transporter 1	807	1038
ABCA7	ABCA7	ABC transporter 2	1793	2025
ABCA8	ABCA8	ABC transporter 1	480	715
ABCA8	ABCA8	ABC transporter 2	1285	1518
ABCA9	ABCA9	ABC transporter 1	481	716
ABCA9	ABCA9	ABC transporter 2	1288	1521
ABCA10	ABCAA	ABC transporter 1	391	626
ABCA10	ABCAA	ABC transporter 2	1206	1440
ABCA12	ABCAC	ABC transporter 1	1346	1577
ABCA12	ABCAC	ABC transporter 2	2254	2489
ABCA13	ABCAD	ABC transporter 1	3842	4074
ABCA13	ABCAD	ABC transporter 2	4718	4956
ABCB5	ABCB5	ABC transmembrane type-1 1	49	350
ABCB5	ABCB5	ABC transporter 1	386	622
ABCB5	ABCB5	ABC transmembrane type-1 2	693	980
ABCB5	ABCB5	ABC transporter 2	1015	1253
ABCB6	ABCB6	ABC transmembrane type-1	265	556
ABCB6	ABCB6	ABC transporter	590	824
ABCB7	ABCB7	ABC transmembrane type-1	140	436
ABCB7	ABCB7	ABC transporter	472	706
ABCB9	ABCB9	ABC transmembrane type-1	188	471
ABCB9	ABCB9	ABC transporter	504	740
ABCB10	ABCBA	ABC transmembrane type-1	171	457
ABCB10	ABCBA	ABC transporter	492	731
ABCB11	ABCBB	ABC transmembrane type-1 1	62	385
ABCB11	ABCBB	ABC transporter 1	420	656
ABCB11	ABCBB	ABC transmembrane type-1 2	755	1043
ABCB11	ABCBB	ABC transporter 2	1078	1316
ABCC8	ABCC8	ABC transmembrane type-1 1	299	602
ABCC8	ABCC8	ABC transporter 1	679	929
ABCC8	ABCC8	ABC transmembrane type-1 2	1012	1306
ABCC8	ABCC8	ABC transporter 2	1344	1578
ABCC9	ABCC9	ABC transmembrane type-1 1	297	597
ABCC9	ABCC9	ABC transporter 1	672	912
ABCC9	ABCC9	ABC transmembrane type-1 2	994	1274
ABCC9	ABCC9	ABC transporter 2	1312	1546
ABCD1	ABCD1	ABC transmembrane type-1	94	386
ABCD1	ABCD1	ABC transporter	474	700
ABCD2	ABCD2	ABC transmembrane type-1	107	399
ABCD2	ABCD2	ABC transporter	478	704
ABCD3	ABCD3	ABC transmembrane type-1	85	372
ABCD3	ABCD3	ABC transporter	440	659
ABCD4	ABCD4	ABC transmembrane type-1	39	332
ABCD4	ABCD4	ABC transporter	389	603
ABCE1	ABCE1	4Fe-4S ferredoxin-type 1	7	37
ABCE1	ABCE1	4Fe-4S ferredoxin-type 2	46	75
ABCE1	ABCE1	ABC transporter 1	79	315
ABCE1	ABCE1	ABC transporter 2	342	562
ABCF1	ABCF1	ABC transporter 1	304	548
ABCF1	ABCF1	ABC transporter 2	625	840
ABCF2	ABCF2	ABC transporter 1	86	325
ABCF2	ABCF2	ABC transporter 2	396	613
ABCF3	ABCF3	ABC transporter 1	178	424
ABCF3	ABCF3	ABC transporter 2	492	707
ABCG1	ABCG1	ABC transporter	77	317
ABCG1	ABCG1	ABC transmembrane type-2	415	673
ABCG2	ABCG2	ABC transporter	37	286
ABCG2	ABCG2	ABC transmembrane type-2	389	651
ABCG4	ABCG4	ABC transporter	61	301
ABCG4	ABCG4	ABC transmembrane type-2	386	641
ABCG5	ABCG5	ABC transporter	52	293
ABCG5	ABCG5	ABC transmembrane type-2	388	645
ABCG8	ABCG8	ABC transporter	47	313
ABCG8	ABCG8	ABC transmembrane type-2	411	665
APOBEC1	ABEC1	CMP/dCMP-type deaminase	10	134
APOBEC2	ABEC2	CMP/dCMP-type deaminase	64	169
APOBEC4	ABEC4	CMP/dCMP-type deaminase	61	177
ABHD1	ABHD1	AB hydrolase-1	123	364
ABHD2	ABHD2	AB hydrolase-1	128	382
ABHD3	ABHD3	AB hydrolase-1	140	233
ABHD4	ABHD4	AB hydrolase-1	70	201
ABHD5	ABHD5	AB hydrolase-1	77	184
ABHD6	ABHD6	AB hydrolase-1	72	313
ABHD8	ABHD8	AB hydrolase-1	177	279
ABHD10	ABHDA	AB hydrolase-1	78	178
ABHD16A	ABHGA	AB hydrolase-1	281	407
ABHD16B	ABHGB	AB hydrolase-1	174	298
ABI1	ABI1	t-SNARE coiled-coil homology	45	107
ABI1	ABI1	SH3	446	505
ABI2	ABI2	t-SNARE coiled-coil homology	45	107
ABI2	ABI2	SH3	451	510
ABI3	ABI3	SH3	308	366
ABL1	ABL1	SH3	61	121
ABL1	ABL1	SH2	127	217
ABL1	ABL1	Protein kinase	242	493
ABL2	ABL2	SH3	107	167
ABL2	ABL2	SH2	173	263
ABL2	ABL2	Protein kinase	288	539
ABLIM1	ABLM1	LIM zinc-binding 1	97	156
ABLIM1	ABLM1	LIM zinc-binding 2	156	216
ABLIM1	ABLM1	LIM zinc-binding 3	224	283
ABLIM1	ABLM1	LIM zinc-binding 4	283	343
ABLIM1	ABLM1	HP	710	778
ABLIM2	ABLM2	LIM zinc-binding 1	22	81
ABLIM2	ABLM2	LIM zinc-binding 2	81	141
ABLIM2	ABLM2	LIM zinc-binding 3	151	210
ABLIM2	ABLM2	LIM zinc-binding 4	210	270
ABLIM2	ABLM2	HP	543	611
ABLIM3	ABLM3	LIM zinc-binding 1	21	80
ABLIM3	ABLM3	LIM zinc-binding 2	80	140
ABLIM3	ABLM3	LIM zinc-binding 3	149	208
ABLIM3	ABLM3	LIM zinc-binding 4	208	268
ABLIM3	ABLM3	HP	615	683
ABRAXAS1	ABRX1	MPN	7	160
ABRAXAS2	ABRX2	MPN	3	149
ABR	ABR	DH	91	284
ABR	ABR	PH	301	459
ABR	ABR	C2	484	613
ABR	ABR	Rho-GAP	647	845
ABT1	ABT1	RRM	46	142
ABTB1	ABTB1	BTB 1	115	182
ABTB1	ABTB1	BTB 2	272	346
ABTB2	ABTB2	BTB	845	914
ABTB3	ABTB3	BTB	923	989
ACACA	ACACA	Biotin carboxylation	117	618
ACACA	ACACA	ATP-grasp	275	466
ACACA	ACACA	Biotinyl-binding	745	819
ACACA	ACACA	CoA carboxyltransferase N-terminal	1576	1914
ACACA	ACACA	CoA carboxyltransferase C-terminal	1918	2234
ACACB	ACACB	Biotin carboxylation	259	761
ACACB	ACACB	ATP-grasp	414	609
ACACB	ACACB	Biotinyl-binding	888	962
ACACB	ACACB	CoA carboxyltransferase N-terminal	1695	2025
ACACB	ACACB	CoA carboxyltransferase C-terminal	2029	2345
ACAP1	ACAP1	BAR	1	226
ACAP1	ACAP1	PH	265	360
ACAP1	ACAP1	Arf-GAP	405	527
ACAP2	ACAP2	BAR	1	226
ACAP2	ACAP2	PH	266	361
ACAP2	ACAP2	Arf-GAP	399	520
ACAP3	ACAP3	PH	268	363
ACAP3	ACAP3	Arf-GAP	403	525
ACBD4	ACBD4	ACB	12	101
ACBD5	ACBD5	ACB	41	130
ACBD6	ACBD6	ACB	42	127
ACBD7	ACBD7	ACB	3	88
DBI	ACBP	ACB	2	87
ACE2	ACE2	Peptidase M2	19	607
ACE2	ACE2	Collectrin-like	614	805
ACE	ACE	Peptidase M2 1	40	624
ACE	ACE	Peptidase M2 2	643	1222
ACIN1	ACINU	SAP	72	106
TNK2	ACK1	Protein kinase	126	385
TNK2	ACK1	SH3	388	448
TNK2	ACK1	CRIB	454	466
TNK2	ACK1	UBA	958	996
ACLY	ACLY	ATP-grasp	4	265
ACOT11	ACO11	HotDog ACOT-type 1	43	155
